CAS,endPoint,
84852-15-3,NVS_ENZ_hPTEN,nonylphenol
84-66-2,NVS_ENZ_rMAOBP,Diethyl phthalate
486-56-6,TOX21_p53_BLA_p3_viability,Cotinene
51218-45-2,TOX21_p53_BLA_p5_ratio ,Metolachlor
86-74-8,TOX21_p53_BLA_p3_ratio,Carbazole
115-86-6,TOX21_p53_BLA_p3_ratio,Triphenyl phosphate
115-96-8,TOX21_p53_BLA_p3_ratio,Tris(2-chloroethyl) phosphate
206-44-0,TOX21_p53_BLA_p3_ratio,Fluoranthene
115-86-6,NVS_NR_hPPARg,Triphenyl phosphate
80-05-7,CLD_CYP1A1_6hr,BPA
80-05-7,CLD_CYP1A2_6hr,BPA
,Tanguay_ZF_120hpf_ActivityScore,
82657-04-3,BSK_3C_Vis_down,
82657-04-3,TOX21_NFkB_BLA_agonist_ch1,
82657-04-3,NVS_NR_hPR,
120068-37-3,NVS_NR_hCAR_Antagonist,
60-51-5,NVS_NR_bER,
13194-48-4,NCCT_QuantiLum_inhib_dn,
161050-58-4,ATG_Myb_CIS_up,
173584-44-6,ATG_HSE_CIS_up,
30560-19-1,BSK_3C_SRB_up,
30560-19-1,ATG_M_19_TRANS_dn,
61949-77-7,ATG_CMV_CIS_dn,
94-74-6,NVS_NR_hCAR_Antagonist,
94-74-6,NVS_NR_hPPARg,
51218-45-2,TOX21_p53_BLA_p5_ch2,
759-94-4,ATG_Xbp1_CIS_dn,
759-94-4,ATG_MRE_CIS_dn,
759-94-4,ATG_HNF6_CIS_dn,
759-94-4,ATG_GATA_CIS_dn,
759-94-4,ATG_Myb_CIS_dn,
759-94-4,ATG_PBREM_CIS_dn,
759-94-4,TOX21_p53_BLA_p3_viability,
834-12-8,TOX21_p53_BLA_p4_ratio,
122836-35-5,ATG_TA_CIS_dn,
87674-68-8,TOX21_p53_BLA_p2_ch2,
87674-68-8,TOX21_p53_BLA_p2_ratio,
111991-09-4,TOX21_AutoFluor_HEK293_Media_blue,
51235-04-2,TOX21_p53_BLA_p5_ratio,
51235-04-2,TOX21_p53_BLA_p5_ch1,
51235-04-2,TOX21_p53_BLA_p5_viability,
